Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/20  03:00:00,9478623.992,18805916.23,0
 01/20  04:00:00,9478623.992,35276542.18,0
 01/20  05:00:00,9478623.992,57166527.98,0
 01/20  06:00:00,9478623.992,948567207.6,0
 01/20  07:00:00,14017756.35,903595741.7,2.44E-04
 01/20  08:00:00,479136334.1,1000741057,4.33E-02
 01/20  09:00:00,417742350.6,907939086,5.85E-02
 01/20  10:00:00,287795410.1,886310595.9,8.86E-02
 01/20  11:00:00,257563027.7,774190012.7,8.86E-02
 01/20  12:00:00,250996270.3,673810349.5,0.109565663
 01/20  13:00:00,249701560.1,616614259.1,0.157407058
 01/20  14:00:00,249613227,578323156.6,0.157407058
 01/20  15:00:00,257986430,559257120,0.151238988
 01/20  16:00:00,348977011.8,508476272.4,8.79E-02
 01/20  17:00:00,479501853.3,310959347.4,6.04E-02
 01/20  18:00:00,473470003.4,293802626.2,3.01E-02
 01/20  19:00:00,470351466.9,303707653,1.50E-02
 01/20  20:00:00,163453733.1,258497.3427,0
 01/20  21:00:00,12249030.9,6267167.252,0
 01/20  22:00:00,12249030.9,8163402.187,0
 01/20  23:00:00,11560350.54,8796426.327,0
 01/20  24:00:00,10182989.83,9059121.041,0
 01/21  01:00:00,9478623.992,8733195.458,0
 01/21  02:00:00,9478623.992,8683400.996,0
 01/21  03:00:00,9478623.992,8643002.522,0
 01/21  04:00:00,9478623.992,8722824.698,0
 01/21  05:00:00,9478623.992,8643002.039,0
 01/21  06:00:00,9478623.992,8955230.271,0
 01/21  07:00:00,9478623.992,9282946.582,0
 01/21  08:00:00,9494309.469,9178807.627,0
 01/21  09:00:00,10387684.03,9370868.009,0
 01/21  10:00:00,10387684.03,7707959.888,0
 01/21  11:00:00,10387684.03,4942929.413,0
 01/21  12:00:00,10387684.03,3450689.878,0
 01/21  13:00:00,10387684.03,2579229.425,0
 01/21  14:00:00,10387684.03,1915958.897,0
 01/21  15:00:00,10387684.03,1843882.869,0
 01/21  16:00:00,10387684.03,2235483.105,0
 01/21  17:00:00,10387684.03,2590034.44,0
 01/21  18:00:00,10387684.03,2600736.081,0
 01/21  19:00:00,9494309.469,2518982.865,0
 01/21  20:00:00,9494309.469,2560544.775,0
 01/21  21:00:00,9494309.469,2806823.049,0
 01/21  22:00:00,9494309.469,3683792.454,0
 01/21  23:00:00,9494309.469,4019682.543,0
 01/21  24:00:00,9494309.469,5105493.354,0
 01/22  01:00:00,9478623.992,4585858.817,0
 01/22  02:00:00,9478623.992,5799963.333,0
 01/22  03:00:00,9478623.992,6076418.451,0
 01/22  04:00:00,9478623.992,6500954.202,0
 01/22  05:00:00,9478623.992,8052027.419,0
 01/22  06:00:00,9478623.992,8337845.914,0
 01/22  07:00:00,9478623.992,8377695.681,0
 01/22  08:00:00,9494309.469,9439525.739,0
 01/22  09:00:00,9494309.469,9414457.155,0
 01/22  10:00:00,9494309.469,7352725.51,0
 01/22  11:00:00,9494309.469,6511589.237,0
 01/22  12:00:00,9494309.469,1633614.823,0
 01/22  13:00:00,9494309.469,708534.6721,0
 01/22  14:00:00,9494309.469,629677.245,0
 01/22  15:00:00,9494309.469,1177186.006,0
 01/22  16:00:00,9494309.469,1840971.576,0
 01/22  17:00:00,9494309.469,2827024.551,0
 01/22  18:00:00,9494309.469,3797027.421,0
 01/22  19:00:00,9494309.469,4843077.705,0
 01/22  20:00:00,9494309.469,5899299.149,0
