Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/18  13:00:00,278084654.3,421432701.1,0.208148997
 01/18  14:00:00,283442335.4,407529458.9,0.208148997
 01/18  15:00:00,304118682.2,398830593.9,0.195800939
 01/18  16:00:00,382769359.9,353487366.4,0.103242122
 01/18  17:00:00,493727023.6,236442745.1,7.46E-02
 01/18  18:00:00,485817047.8,198998930.7,3.72E-02
 01/18  19:00:00,482700801.2,182132577.7,1.86E-02
 01/18  20:00:00,168554793.2,0,0
 01/18  21:00:00,12964410.58,174996.5281,0
 01/18  22:00:00,12964410.58,1903799.906,0
 01/18  23:00:00,12167826.12,3171203.546,0
 01/18  24:00:00,10574657.19,4059166.582,0
 01/19  01:00:00,9761104.792,4625723.159,0
 01/19  02:00:00,9761104.792,5004080.637,0
 01/19  03:00:00,9761104.792,5734436.448,0
 01/19  04:00:00,9761104.792,6174371.186,0
 01/19  05:00:00,9761104.792,7330069.96,0
 01/19  06:00:00,9761104.792,756064034.4,0
 01/19  07:00:00,14346905.25,621802480,2.44E-04
 01/19  08:00:00,491776279,631286494.1,4.80E-02
 01/19  09:00:00,440597168.1,586607677.7,6.68E-02
 01/19  10:00:00,296186510.8,615099500.1,0.103975347
 01/19  11:00:00,256688521.3,541852470.5,0.103975347
 01/19  12:00:00,256464069.1,474556066.1,0.134665347
 01/19  13:00:00,255388220,423282020.2,0.208148997
 01/19  14:00:00,254938436.4,389607242.3,0.208148997
 01/19  15:00:00,255978103.1,383550555,0.195800939
 01/19  16:00:00,284701158.1,358488018.8,0.103242122
 01/19  17:00:00,481149900.5,239626896.2,7.46E-02
 01/19  18:00:00,485817047.8,202324892.3,3.72E-02
 01/19  19:00:00,482700801.2,192818476.1,1.86E-02
 01/19  20:00:00,168554793.2,0,0
 01/19  21:00:00,12964410.58,2975731.505,0
 01/19  22:00:00,12964410.58,5861825.271,0
 01/19  23:00:00,12167826.12,7403875.398,0
 01/19  24:00:00,10574657.19,8777270.711,0
 01/20  01:00:00,9761104.792,10029646.82,0
 01/20  02:00:00,9761104.792,11261792.53,0
 01/20  03:00:00,9761104.792,12607399.38,0
 01/20  04:00:00,9761104.792,13693617.1,0
 01/20  05:00:00,9761104.792,19143421.31,0
 01/20  06:00:00,9761104.792,856908741,0
 01/20  07:00:00,14346905.25,784669029.6,2.44E-04
 01/20  08:00:00,491776279,848752769.1,4.80E-02
 01/20  09:00:00,436040595.3,779113601.3,6.68E-02
 01/20  10:00:00,304748147.9,809341333.3,0.103975347
 01/20  11:00:00,269910889.3,717859692.1,0.103975347
 01/20  12:00:00,261945331.7,635325800,0.134665347
 01/20  13:00:00,258799108.9,582561663.3,0.208148997
 01/20  14:00:00,258777928.3,550483715.7,0.208148997
 01/20  15:00:00,270070329.9,545089355.7,0.195800939
 01/20  16:00:00,366899351.1,485696941.2,0.103242122
 01/20  17:00:00,492002103,311376399.9,7.46E-02
 01/20  18:00:00,485817047.8,267877233.1,3.72E-02
 01/20  19:00:00,482700801.2,262056750.8,1.86E-02
 01/20  20:00:00,168554793.2,0,0
 01/20  21:00:00,12964410.58,4963224.75,0
 01/20  22:00:00,12964410.58,6915543.327,0
 01/20  23:00:00,12167826.12,7508690.515,0
 01/20  24:00:00,10574657.19,7744645.983,0
 01/21  01:00:00,9761104.792,7724233.705,0
 01/21  02:00:00,9761104.792,7708459.862,0
 01/21  03:00:00,9761104.792,7607756.395,0
 01/21  04:00:00,9761104.792,7379782.191,0
 01/21  05:00:00,9761104.792,7095266.871,0
 01/21  06:00:00,9761104.792,6983356.605,0
 01/21  07:00:00,9761104.792,6975816.754,0
 01/21  08:00:00,9778072.731,6751168.692,0
 01/21  09:00:00,10660430.57,6631726.052,0
 01/21  10:00:00,10660430.57,5441967.055,0
 01/21  11:00:00,10660430.57,3940791.943,0
 01/21  12:00:00,10660430.57,2886771.889,0
 01/21  13:00:00,10660430.57,1927671.796,0
 01/21  14:00:00,10660430.57,1328188.097,0
 01/21  15:00:00,10660430.57,1349076.901,0
