Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group
ElectricEquipment,Level1Z1:Zone12 Equipment 1,Design Level,411.5654,365.0585098,440.374978,Uniform,Float,53
Lights,Level1Z1:Zone7 General lighting,Lighting Level,228.83,215.55786,249.4247,Uniform,Float,54
ElectricEquipment,Level1Z1:Zone7 Computing gain 1,Design Level,68.649,60.891663,73.45443,Uniform,Float,55
ElectricEquipment,Level1Z1:Zone7 Equipment 2,Design Level,68.649,60.891663,73.45443,Uniform,Float,56
Lights,Level1Z1:Zone45 General lighting,Lighting Level,155.804,146.767368,169.82636,Uniform,Float,57
ElectricEquipment,Level1Z1:Zone45 Computing gain 1,Design Level,46.7412,41.4594444,50.013084,Uniform,Float,58
ElectricEquipment,Level1Z1:Zone45 Equipment 2,Design Level,46.7412,41.4594444,50.013084,Uniform,Float,59
Lights,Level1Z1:Zone47 General lighting,Lighting Level,456.275,429.81105,497.33975,Uniform,Float,60
ElectricEquipment,Level1Z1:Zone47 Equipment 1,Design Level,770.9222,683.8079914,824.886754,Uniform,Float,61
Lights,Level1Z1:Zone44 General lighting,Lighting Level,172.754,162.734268,188.30186,Uniform,Float,62
ElectricEquipment,Level1Z1:Zone44 Computing gain 1,Design Level,51.8262,45.9698394,55.454034,Uniform,Float,63
ElectricEquipment,Level1Z1:Zone44 Equipment 2,Design Level,51.8262,45.9698394,55.454034,Uniform,Float,64
Lights,Level1Z1:Zone2 General lighting,Lighting Level,1804.246,1699.599732,1966.62814,Uniform,Float,65
ElectricEquipment,Level1Z1:Zone2 Computing gain 1,Design Level,541.2738,480.1098606,579.162966,Uniform,Float,66
ElectricEquipment,Level1Z1:Zone2 Equipment 2,Design Level,541.2738,480.1098606,579.162966,Uniform,Float,67
Lights,Level1Z1:Zone43 General lighting,Lighting Level,1279.054,1204.868868,1394.16886,Uniform,Float,68
ElectricEquipment,Level1Z1:Zone43 Computing gain 1,Design Level,383.7162,340.3562694,410.576334,Uniform,Float,69
ElectricEquipment,Level1Z1:Zone43 Equipment 2,Design Level,383.7162,340.3562694,410.576334,Uniform,Float,70
Lights,Level1Z1:Zone37 General lighting,Lighting Level,145.816,137.358672,158.93944,Uniform,Float,71
ElectricEquipment,Level1Z1:Zone37 Equipment 1,Design Level,79.9072,70.8776864,85.500704,Uniform,Float,72
Lights,Level1Z1:Zone36 General lighting,Lighting Level,197.924,186.444408,215.73716,Uniform,Float,73
ElectricEquipment,Level1Z1:Zone36 Equipment 1,Design Level,108.4624,96.2061488,116.054768,Uniform,Float,74
Lights,Level1Z1:Zone38 General lighting,Lighting Level,1441.416,1357.813872,1571.14344,Uniform,Float,75
ElectricEquipment,Level1Z1:Zone38 Computing gain 1,Design Level,432.4248,383.5607976,462.694536,Uniform,Float,76
ElectricEquipment,Level1Z1:Zone38 Equipment 2,Design Level,432.4248,383.5607976,462.694536,Uniform,Float,77
Lights,Level1Z1:Zone3 General lighting,Lighting Level,1177.12,1108.84704,1283.0608,Uniform,Float,78
ElectricEquipment,Level1Z1:Zone3 Computing gain 1,Design Level,353.136,313.231632,377.85552,Uniform,Float,79
ElectricEquipment,Level1Z1:Zone3 Equipment 2,Design Level,353.136,313.231632,377.85552,Uniform,Float,80
Lights,Level1Z1:Zone5 General lighting,Lighting Level,924.16,870.55872,1007.3344,Uniform,Float,81
ElectricEquipment,Level1Z1:Zone5 Computing gain 1,Design Level,277.248,245.918976,296.65536,Uniform,Float,82
ElectricEquipment,Level1Z1:Zone5 Equipment 2,Design Level,277.248,245.918976,296.65536,Uniform,Float,83
Lights,Level1Z1:Zone6 General lighting,Lighting Level,916.402,863.250684,998.87818,Uniform,Float,84
ElectricEquipment,Level1Z1:Zone6 Computing gain 1,Design Level,274.9206,243.8545722,294.165042,Uniform,Float,85
ElectricEquipment,Level1Z1:Zone6 Equipment 2,Design Level,274.9206,243.8545722,294.165042,Uniform,Float,86
Lights,Level1Z1:Zone8 General lighting,Lighting Level,965.12,909.14304,1051.9808,Uniform,Float,87
ElectricEquipment,Level1Z1:Zone8 Computing gain 1,Design Level,289.536,256.818432,309.80352,Uniform,Float,88
ElectricEquipment,Level1Z1:Zone8 Equipment 2,Design Level,289.536,256.818432,309.80352,Uniform,Float,89
Lights,Level1Z1:Zone10 General lighting,Lighting Level,931.226,877.214892,1015.03634,Uniform,Float,90
ElectricEquipment,Level1Z1:Zone10 Computing gain 1,Design Level,279.3678,247.7992386,298.923546,Uniform,Float,91
ElectricEquipment,Level1Z1:Zone10 Equipment 2,Design Level,279.3678,247.7992386,298.923546,Uniform,Float,92
Lights,Level1Z1:Zone28 General lighting,Lighting Level,160.852,151.522584,175.32868,Uniform,Float,93
ElectricEquipment,Level1Z1:Zone28 Computing gain 1,Design Level,48.2556,42.8027172,51.633492,Uniform,Float,94
ElectricEquipment,Level1Z1:Zone28 Equipment 2,Design Level,48.2556,42.8027172,51.633492,Uniform,Float,95
Lights,Level1Z1:Zone11 General lighting,Lighting Level,733.502,690.958884,799.51718,Uniform,Float,96
ElectricEquipment,Level1Z1:Zone11 Computing gain 1,Design Level,220.0506,195.1848822,235.454142,Uniform,Float,97
ElectricEquipment,Level1Z1:Zone11 Equipment 2,Design Level,220.0506,195.1848822,235.454142,Uniform,Float,98
Lights,Level1Z1:Zone13 General lighting,Lighting Level,926.896,873.136032,1010.31664,Uniform,Float,99
ElectricEquipment,Level1Z1:Zone13 Computing gain 1,Design Level,278.0688,246.6470256,297.533616,Uniform,Float,100
ElectricEquipment,Level1Z1:Zone13 Equipment 2,Design Level,278.0688,246.6470256,297.533616,Uniform,Float,101
Lights,Level2:Zone4 General lighting,Lighting Level,1099.826,1036.036092,1198.81034,Uniform,Float,102
ElectricEquipment,Level2:Zone4 Equipment 1,Design Level,647.2476,574.1086212,692.554932,Uniform,Float,103
Lights,Level2:Zone5 General lighting,Lighting Level,1054.526,993.363492,1149.43334,Uniform,Float,104
