# ID,Name,Parameter Type,Description,Search String,Value Type,Value String,Selected Value Index
P120,External Rendering_0.025 Visible Absorptance,PARAMETRICS,Material - External Rendering_0.025 Visible Absorptance,@@tag120@@,DOUBLE,"{0.7, 0.602, 0.7979999999999999}",0
P121,MW Stone Wool (rolls)_0.1439 Conductivity,PARAMETRICS,Material - MW Stone Wool (rolls)_0.1439 Conductivity,@@tag121@@,DOUBLE,"{0.04, 0.038, 0.042}",0
P122,MW Stone Wool (rolls)_0.1439 Density,PARAMETRICS,Material - MW Stone Wool (rolls)_0.1439 Density,@@tag122@@,DOUBLE,"{30.0, 29.7, 30.3}",0
P123,MW Stone Wool (rolls)_0.1439 Specific Heat,PARAMETRICS,Material - MW Stone Wool (rolls)_0.1439 Specific Heat,@@tag123@@,DOUBLE,"{840.0, 735.0, 945.0}",0
P124,MW Stone Wool (rolls)_0.1439 Thermal Absorptance,PARAMETRICS,Material - MW Stone Wool (rolls)_0.1439 Thermal Absorptance,@@tag124@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P125,MW Stone Wool (rolls)_0.1439 Solar Absorptance,PARAMETRICS,Material - MW Stone Wool (rolls)_0.1439 Solar Absorptance,@@tag125@@,DOUBLE,"{0.6, 0.4039999999999999, 0.796}",0
P126,MW Stone Wool (rolls)_0.1439 Visible Absorptance,PARAMETRICS,Material - MW Stone Wool (rolls)_0.1439 Visible Absorptance,@@tag126@@,DOUBLE,"{0.6, 0.4039999999999999, 0.796}",0
P127,Standard insulation_0.0159 Conductivity,PARAMETRICS,Material - Standard insulation_0.0159 Conductivity,@@tag127@@,DOUBLE,"{0.04, 0.038, 0.042}",0
P128,Standard insulation_0.0159 Density,PARAMETRICS,Material - Standard insulation_0.0159 Density,@@tag128@@,DOUBLE,"{12.0, 11.88, 12.12}",0
P129,Standard insulation_0.0159 Specific Heat,PARAMETRICS,Material - Standard insulation_0.0159 Specific Heat,@@tag129@@,DOUBLE,"{840.0, 735.0, 945.0}",0
P130,Standard insulation_0.0159 Thermal Absorptance,PARAMETRICS,Material - Standard insulation_0.0159 Thermal Absorptance,@@tag130@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P131,Standard insulation_0.0159 Solar Absorptance,PARAMETRICS,Material - Standard insulation_0.0159 Solar Absorptance,@@tag131@@,DOUBLE,"{0.7, 0.602, 0.7979999999999999}",0
P132,Standard insulation_0.0159 Visible Absorptance,PARAMETRICS,Material - Standard insulation_0.0159 Visible Absorptance,@@tag132@@,DOUBLE,"{0.7, 0.602, 0.7979999999999999}",0
