,Class,Object,Field,Default,Minimum,Maximum,Type,Group
2600,People,People Level0:Zone20,Number of People,4.0875306,0.8829066096,7.2921545904,Float,G500
2601,People,People Level0:Zone20,Fraction Radiant,0.3,0.285,0.315,Float,G501
2602,People,People Level0:Zone20,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2603,Lights,Level0:Zone20 General lighting,Lighting Level,736.492,693.7754639999999,802.7762799999999,Float,G502
2604,Lights,Level0:Zone20 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2605,Lights,Level0:Zone20 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2606,Lights,Level0:Zone20 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2607,ElectricEquipment,Level0:Zone20 Equipment 1,Design Level,433.4255,384.4484185,463.765285,Float,G503
2608,ElectricEquipment,Level0:Zone20 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G504
2609,WaterUse:Equipment,DHW Level0:Zone20,Peak Flow Rate,2.27e-07,1.54814e-07,3.3255500000000003e-07,Float,G505
2622,ZoneInfiltration:DesignFlowRate,Level0:Zone20 Infiltration,Design Flow Rate,0.008234,0.008232328850980243,0.008235671149019757,Float,G228
2628,People,People Level0:Zone43,Number of People,0.159311288,0.034411238208,0.284211337792,Float,G599
2629,People,People Level0:Zone43,Fraction Radiant,0.3,0.285,0.315,Float,G600
2630,People,People Level0:Zone43,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2631,Lights,Level0:Zone43 General lighting,Lighting Level,14.168,13.346255999999999,15.443119999999999,Float,G601
2632,Lights,Level0:Zone43 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2633,Lights,Level0:Zone43 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2634,Lights,Level0:Zone43 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2635,ElectricEquipment,Level0:Zone43 Equipment 1,Design Level,7.7641,6.8867567,8.307587,Float,G413
2636,ElectricEquipment,Level0:Zone43 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G414
2649,ZoneInfiltration:DesignFlowRate,Level0:Zone43 Infiltration,Design Flow Rate,0.000308,0.00030632885098024273,0.0003096711490197573,Float,G228
2655,People,People Level0:Zone21,Number of People,4.6494681,1.0042851095999996,8.2946510904,Float,G500
2656,People,People Level0:Zone21,Fraction Radiant,0.3,0.285,0.315,Float,G501
2657,People,People Level0:Zone21,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2658,Lights,Level0:Zone21 General lighting,Lighting Level,837.742,789.152964,913.13878,Float,G502
2659,Lights,Level0:Zone21 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2660,Lights,Level0:Zone21 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2661,Lights,Level0:Zone21 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2662,ElectricEquipment,Level0:Zone21 Equipment 1,Design Level,493.0112,437.30093439999996,527.521984,Float,G503
2663,ElectricEquipment,Level0:Zone21 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G504
2664,WaterUse:Equipment,DHW Level0:Zone21,Peak Flow Rate,2.59e-07,1.7663799999999997e-07,3.79435e-07,Float,G505
