Class,Object,Field,Default,Minimum,Maximum,Type,Group
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 21,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 22,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 23,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 24,1,0.9,1.1,Float,G079
Material:NoMass,LinearBridgingLayer,Thermal Resistance,0.6267,0.56403,0.68937,Float,G080
Material:NoMass,LinearBridgingLayer,Thermal Absorptance,0.01,0.009,0.011,Float,G081
Material:NoMass,LinearBridgingLayer,Solar Absorptance,0.01,0.009,0.011,Float,G082
Material:NoMass,LinearBridgingLayer,Visible Absorptance,0.01,0.009,0.011,Float,G083
Schedule:Day:List,1,Minutes per Item,60,54,60,Integer,G084
Schedule:Day:List,1_-50_12_20,Minutes per Item,60,54,60,Integer,G085
Schedule:Day:List,1_0_1_1,Minutes per Item,60,54,60,Integer,G086
Schedule:Day:List,1_-50_10_19,Minutes per Item,60,54,60,Integer,G087
Schedule:Day:List,1_-50_12_23,Minutes per Item,60,54,60,Integer,G088
WindowMaterial:Gas,1001,Thickness,0.006,0.0054,0.0066,Float,G089
WindowMaterial:Gas,Half thickness 1001,Thickness,0.003,0.0027,0.0033,Float,G090
WindowMaterial:Glazing,2,Thickness,0.003,0.0027,0.0033,Float,G091
WindowMaterial:Glazing,2,Solar Transmittance at Normal Incidence,0.837,0.7533,0.9207,Float,G092
WindowMaterial:Glazing,2,Front Side Solar Reflectance at Normal Incidence,0.075,0.0675,0.0825,Float,G093
WindowMaterial:Glazing,2,Back Side Solar Reflectance at Normal Incidence,0.075,0.0675,0.0825,Float,G094
WindowMaterial:Glazing,2,Visible Transmittance at Normal Incidence,0.898,0.8082,0.9878,Float,G095
WindowMaterial:Glazing,2,Front Side Visible Reflectance at Normal Incidence,0.081,0.0729,0.0891,Float,G096
WindowMaterial:Glazing,2,Back Side Visible Reflectance at Normal Incidence,0.081,0.0729,0.0891,Float,G097
WindowMaterial:Glazing,2,Front Side Infrared Hemispherical Emissivity,0.84,0.756,0.924,Float,G098
WindowMaterial:Glazing,2,Back Side Infrared Hemispherical Emissivity,0.84,0.756,0.924,Float,G099
WindowMaterial:Glazing,2,Conductivity,0.9,0.81,0.99,Float,G100
